epochs, nll-oracle,nll-test,EmbeddingSimilarity,
1,10.782339,7.60845,-0.2165170338200889,
3,10.488757,7.3440804,-0.21260414032294433,
5,10.242452,7.0649242,-0.21129129062026172,
7,10.065766,6.889536,-0.20688493338837327,
9,10.015808,6.767898,-0.20986073191339702,
11,10.016375,6.6852574,-0.21095383692972555,
13,9.989537,6.6371536,-0.2076759020459433,
15,9.987746,6.6034875,-0.21439303373052537,
17,9.981309,6.5693893,-0.21154231951668845,
19,9.980899,6.5267687,-0.21120649687452162,
21,9.945776,6.4911413,-0.20604862140408345,
23,9.946228,6.449531,-0.21413448542076546,
25,9.939142,6.415791,-0.2115023035226755,
27,9.939332,6.3854904,-0.21308328356535647,
29,9.930949,6.35582,-0.20746278148761196,
31,9.903368,6.325869,-0.20981229424071707,
33,9.8892145,6.300098,-0.21071821700946652,
35,9.889202,6.280482,-0.211651307401216,
37,9.891145,6.253957,-0.20987133137841854,
39,9.897594,6.236243,-0.21263870756068115,
41,9.8846,6.217156,-0.21067536217851027,
43,9.885571,6.203291,-0.2089848017487111,
45,9.902554,6.185906,-0.21042793690014636,
47,9.904704,6.177269,-0.21198123509001562,
49,9.888124,6.168501,-0.21250518797644083,
51,9.909997,6.1595926,-0.2108419166619939,
53,9.88313,6.137507,-0.21099890161978535,
55,9.90029,6.127157,-0.21147461695765898,
57,9.9002,6.120843,-0.20894568165134852,
59,9.892441,6.1107483,-0.2116300661250242,
61,9.896173,6.101597,-0.21090794034498825,
63,9.904857,6.083408,-0.2110452914352181,
65,9.89181,6.084171,-0.21281888136238014,
67,9.89827,6.082173,-0.21018050891211135,
69,9.897978,6.065658,-0.20880096286252658,
71,9.8878145,6.0666504,-0.20938405066251073,
73,9.890035,6.0563984,-0.21328171267939314,
75,9.905303,6.046798,-0.20854329471371585,
77,9.893716,6.039104,-0.20970940058460896,
79,9.896164,6.033296,-0.21370689995932235,
81,9.831913,6.0493484,-0.20910815655593532,
83,9.782975,6.063467,-0.2065505732473025,
85,9.759168,6.080935,-0.20431946868212655,
87,9.717005,6.0996337,-0.20671725708856487,
89,9.694934,6.118662,-0.20641109072767874,
91,9.679526,6.1382217,-0.2036877547627204,
93,9.648189,6.1583743,-0.20196221956166965,
95,9.635044,6.1791043,-0.20230904154729304,
97,9.617229,6.1994724,-0.1986505482480701,
99,9.6184025,6.219801,-0.20512775699881924,
101,9.597637,6.24027,-0.20224161469560473,
103,9.60627,6.260399,-0.19767873585282428,
105,9.588301,6.279616,-0.20145111048600875,
107,9.580158,6.2987113,-0.2004917605301529,
109,9.589988,6.3175945,-0.20021063043187398,
111,9.56967,6.3355002,-0.19996332096260064,
113,9.570167,6.353361,-0.20254607528439253,
115,9.567942,6.370591,-0.19840538241369332,
